hotel_name;location_name;rate;image_url;description;price;stars;parking;restaurant;pets;smoking;swimmingPool;beachFront;airConditioning;freeWiFi;sauna;fitness;category
Holiday Inn Express & Suites Shawnee;Manali;1;https://traffickcam.com/images/2017/7/20160623_173749_9LH2J0.jpg;Hotel 'Holiday Inn Express & Suites Shawnee' at  Manali without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);351;1;0;1;0;0;1;0;0;0;0;0;1
Mercure Hotel am Franziskaner Villingen-Schwenningen;Ilawa;6;https://traffickcam.com/images/2017/7/20160623_182002_L013MY.jpg;Hotel 'Mercure Hotel am Franziskaner Villingen-Schwenningen' at  Ilawa with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);91;3;1;0;0;1;1;1;0;1;1;0;4
Comfort Inn Guilford;Khajuraho;9;https://traffickcam.com/images/2017/7/20160623_193332_631FL3.jpg;Hotel 'Comfort Inn Guilford' at  Khajuraho with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);776;3;1;0;1;0;0;1;1;0;0;1;1
Park Plaza Suites Hotel;Prague;6;https://traffickcam.com/images/2017/7/20160623_203327_5PKRJ2.jpg;Hotel 'Park Plaza Suites Hotel' at  Prague with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);385;3;1;0;0;1;1;1;1;0;0;1;4
Scandic Stavanger Airport;Port Coquitlam;2;https://traffickcam.com/images/2017/7/20160623_203524_RISVZF.jpg;Hotel 'Scandic Stavanger Airport' at  Port Coquitlam without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);387;3;0;0;1;1;0;0;1;1;0;0;6
Doha Downtown Hotel Apartment;Ban Nong Sadao;4;https://traffickcam.com/images/2017/7/20160623_215354_VVIQSE.jpg;Hotel 'Doha Downtown Hotel Apartment' at  Ban Nong Sadao with parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);884;4;1;1;0;0;1;1;1;0;1;1;6
Wyndham Merida;Corumba;9;https://traffickcam.com/images/2017/7/20160623_224608_CTUFJ5.jpg;Hotel 'Wyndham Merida' at  Corumba with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);719;1;1;0;0;1;1;0;1;1;0;0;3
Pool Port Douglas;Karpacz;6;https://traffickcam.com/images/2017/7/20160623_225341_KBR3CH.jpg;Hotel 'Pool Port Douglas' at  Karpacz without parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);810;4;0;0;1;1;1;0;0;1;0;0;6
Omni San Francisco Hotel;Put-In-Bay;3;https://traffickcam.com/images/2017/7/20160623_232737_4CW3V6.jpg;Hotel 'Omni San Francisco Hotel' at  Put-In-Bay without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);331;4;0;0;0;0;0;0;0;0;0;1;6
Larkspur Landing Pleasanton - An All-Suite Hotel;Cabo Frio;6;https://traffickcam.com/images/2017/7/20160623_234237_B2SUSV.jpg;Hotel 'Larkspur Landing Pleasanton - An All-Suite Hotel' at  Cabo Frio with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);964;2;1;0;1;0;0;0;0;1;1;0;4
Sol PelAcanos Ocas;Chandaka;5;https://traffickcam.com/images/2017/7/20160624_002052_Q82RBC.jpg;Hotel 'Sol PelAcanos Ocas' at  Chandaka with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);238;2;1;1;1;1;1;1;0;0;1;0;2
Pietra e Mare Mykonos Hotel;Bhubaneswar;6;https://traffickcam.com/images/2017/7/20160624_005646_E6AT9E.jpg;Hotel 'Pietra e Mare Mykonos Hotel' at  Bhubaneswar without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);554;4;0;0;0;0;0;1;0;1;0;0;6
Sunstar Alpine Hotel Wengen;Prague;3;https://traffickcam.com/images/2017/7/20160624_010814_JZM06C.jpg;Hotel 'Sunstar Alpine Hotel Wengen' at  Prague with parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);628;4;1;1;0;1;1;0;1;1;0;0;4
Comfort Suites;Cannes;5;https://traffickcam.com/images/2017/7/20160624_021234_0I894C.jpg;Hotel 'Comfort Suites' at  Cannes with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);290;5;1;1;1;1;1;0;0;1;0;0;6
Le Stanley Hotel and Suites;Gdansk;4;https://traffickcam.com/images/2017/7/20160624_021936_5XVQZX.jpg;Hotel 'Le Stanley Hotel and Suites' at  Gdansk with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);806;1;1;0;0;1;1;0;0;0;1;0;4
Suites AristAteles 225;Le Mont-Saint-Michel;4;https://traffickcam.com/images/2017/7/20160624_022647_AQ2AIA.jpg;Hotel 'Suites AristAteles 225' at  Le Mont-Saint-Michel with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);210;1;1;1;1;1;1;1;1;0;1;0;2
Hotel Mea;Vijayawada;1;https://traffickcam.com/images/2017/7/20160624_030204_BQS9F4.jpg;Hotel 'Hotel Mea' at  Vijayawada with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);668;3;1;1;1;1;1;0;1;1;1;1;3
Apartamentos Palmera Beach;Wuzhen;2;https://traffickcam.com/images/2017/7/20160624_030441_XJDMC3.jpg;Hotel 'Apartamentos Palmera Beach' at  Wuzhen with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);22;1;1;0;0;1;1;1;1;1;0;0;2
Northern Sands Hotel;La Grande Motte;8;https://traffickcam.com/images/2017/7/20160624_033523_DS504I.jpg;Hotel 'Northern Sands Hotel' at  La Grande Motte with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);609;5;1;0;0;0;0;1;1;0;0;0;3
Inn of the Governors;Bengaluru;3;https://traffickcam.com/images/2017/7/20160624_041425_B0XMB6.jpg;Hotel 'Inn of the Governors' at  Bengaluru without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);975;1;0;0;0;1;0;0;1;0;0;0;2
Dan Panorama Tel Aviv;Cagliari;8;https://traffickcam.com/images/2017/7/20160624_041753_P1KX4L.jpg;Hotel 'Dan Panorama Tel Aviv' at  Cagliari without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);487;2;0;0;0;0;0;0;1;0;0;1;2
Boston Park Plaza;Puerto del Rosario;8;https://traffickcam.com/images/2017/7/20160624_044156_1LE2OW.jpg;Hotel 'Boston Park Plaza' at  Puerto del Rosario without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);487;1;0;1;0;1;1;0;0;0;1;0;2
Kouros Hotel & Suites;Krakow;8;https://traffickcam.com/images/2017/7/20160624_045419_F5RR09.jpg;Hotel 'Kouros Hotel & Suites' at  Krakow without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);478;2;0;1;0;0;1;1;1;1;0;1;2
Canad Inns Destination Centre Club Regent Casino Hotel;San Sebastian de la Gomera;8;https://traffickcam.com/images/2017/7/20160624_045824_GHH7FO.jpg;Hotel 'Canad Inns Destination Centre Club Regent Casino Hotel' at  San Sebastian de la Gomera without parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);396;2;0;1;0;1;0;0;0;0;0;1;2
Aberdeen Douglas Hotel;Mytishchi;8;https://traffickcam.com/images/2017/7/20160624_050344_ZAWX8C.jpg;Hotel 'Aberdeen Douglas Hotel' at  Mytishchi without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);920;1;0;1;1;0;1;0;1;1;1;1;5
Mercure Hull Grange Park Hotel;Zator;4;https://traffickcam.com/images/2017/7/20160624_052345_S6G0AC.jpg;Hotel 'Mercure Hull Grange Park Hotel' at  Zator with parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);466;5;1;1;0;1;0;1;1;1;1;1;4
Sunriver Resort - Destination Hotels & Resorts;Chania;2;https://traffickcam.com/images/2017/7/20160624_074842_6RJ3HZ.jpg;Hotel 'Sunriver Resort - Destination Hotels & Resorts' at  Chania without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);498;1;0;1;1;1;0;1;0;1;0;0;1
Quality Inn;Hajduszoboszlo;3;https://traffickcam.com/images/2017/7/20160624_082425_49NEZM.jpg;Hotel 'Quality Inn' at  Hajduszoboszlo with parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);732;1;1;1;1;0;0;0;1;1;1;0;3
Hotel Club Augusta;Nha Trang;9;https://traffickcam.com/images/2017/7/20160624_101432_T05LCX.jpg;Hotel 'Hotel Club Augusta' at  Nha Trang without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);401;4;0;1;0;0;1;1;0;0;1;0;4
Tulip Inn Eindhoven Airport;Rio De Janeiro;2;https://traffickcam.com/images/2017/7/20160624_130546_1JKQ77.jpg;Hotel 'Tulip Inn Eindhoven Airport' at  Rio De Janeiro without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);642;1;0;0;1;1;0;1;1;1;0;1;3
Hesperia Peregrino;Sopot;2;https://traffickcam.com/images/2017/7/20160624_131508_9DJ2CC.jpg;Hotel 'Hesperia Peregrino' at  Sopot without parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);242;5;0;0;1;1;1;0;1;0;0;1;2
Viva Wyndham Dominicus Beach Resort - All Inclusive;Warsaw;4;https://traffickcam.com/images/2017/7/20160624_134233_45XNAA.jpg;Hotel 'Viva Wyndham Dominicus Beach Resort - All Inclusive' at  Warsaw without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);24;2;0;1;1;1;1;1;1;1;1;0;3
Los Zocos Club Resort;Port Douglas;5;https://traffickcam.com/images/2017/7/20160624_134424_NZ45LI.jpg;Hotel 'Los Zocos Club Resort' at  Port Douglas with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);150;2;1;0;0;1;0;1;0;1;1;0;3
Alpine Lodge Fairbanks;Schonau;1;https://traffickcam.com/images/2017/7/20160624_135535_8MFP95.jpg;Hotel 'Alpine Lodge Fairbanks' at  Schonau with parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);653;2;1;1;1;0;0;0;0;0;0;0;4
Inturotel Cala Azul Park;Kazan;10;https://traffickcam.com/images/2017/7/20160624_135910_M72OH4.jpg;Hotel 'Inturotel Cala Azul Park' at  Kazan with parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);237;3;1;1;1;1;0;1;0;0;0;0;6
NH Collection San SebastiAn ArAnzazu;Panama City Beach;5;https://traffickcam.com/images/2017/7/20160624_141421_66SZJN.jpg;Hotel 'NH Collection San SebastiAn ArAnzazu' at  Panama City Beach with parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);886;3;1;1;0;0;0;1;1;0;0;0;3
Baymont Inn & Suites Salida;London;6;https://traffickcam.com/images/2017/7/20160624_142949_4ONHHC.jpg;Hotel 'Baymont Inn & Suites Salida' at  London without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);118;2;0;0;1;1;0;0;0;0;0;1;2
MeliA Recoletos Boutique Hotel;Sarande;10;https://traffickcam.com/images/2017/7/20160624_142957_EZ5EJI.jpg;Hotel 'MeliA Recoletos Boutique Hotel' at  Sarande without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);126;2;0;0;0;1;0;1;0;0;0;1;2
Atalos Hotel  Apartments & Suites;Whitehouse;6;https://traffickcam.com/images/2017/7/20160624_144049_9P6OFA.jpg;Hotel 'Atalos Hotel  Apartments & Suites' at  Whitehouse with parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);562;2;1;0;1;0;1;0;0;0;0;0;2
Comfort Inn & Suites Near Burke Mountain;Naples;5;https://traffickcam.com/images/2017/7/20160624_151706_MK89N4.jpg;Hotel 'Comfort Inn & Suites Near Burke Mountain' at  Naples with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);424;3;1;0;1;1;0;0;1;0;1;1;1
Hyatt Regency Waikiki Beach Resort & Spa;Almada;8;https://traffickcam.com/images/2017/7/20160624_151917_4WDH18.jpg;Hotel 'Hyatt Regency Waikiki Beach Resort & Spa' at  Almada with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);112;3;1;0;0;0;1;0;0;1;0;1;4
Lodge at Mountaineer Square;Stutzerbach;2;https://traffickcam.com/images/2017/7/20160624_151921_P3783N.jpg;Hotel 'Lodge at Mountaineer Square' at  Stutzerbach without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);939;5;0;1;0;0;1;1;0;1;1;1;2
Ibis Charleroi Centre Gare;Nadi;9;https://traffickcam.com/images/2017/7/20160624_152355_K5D8WQ.jpg;Hotel 'Ibis Charleroi Centre Gare' at  Nadi without parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);242;3;0;0;1;0;1;0;1;0;1;1;6
Protea Hotel Victoria Island;Rendar;2;https://traffickcam.com/images/2017/7/20160624_152645_IDFZT2.jpg;Hotel 'Protea Hotel Victoria Island' at  Rendar without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);917;1;0;0;0;1;0;1;0;0;0;1;3
Radisson Blu Hotel Doha;Wroclaw;9;https://traffickcam.com/images/2017/7/20160624_152943_VMOGNS.jpg;Hotel 'Radisson Blu Hotel Doha' at  Wroclaw without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);159;4;0;1;0;0;1;0;0;1;0;0;3
Hotel Parco Smeraldo Terme;Panama City Beach;10;https://traffickcam.com/images/2017/7/20160624_153344_GI60I9.jpg;Hotel 'Hotel Parco Smeraldo Terme' at  Panama City Beach without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);264;2;0;0;0;0;0;0;1;0;0;0;6
Hotel Ascot;Pimonte;9;https://traffickcam.com/images/2017/7/20160624_154724_WFF6F0.jpg;Hotel 'Hotel Ascot' at  Pimonte without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);973;1;0;1;1;0;0;1;0;1;1;1;6
Apartamentos Jutlandia;Myrtle Beach;4;https://traffickcam.com/images/2017/7/20160624_155920_EQSRUE.jpg;Hotel 'Apartamentos Jutlandia' at  Myrtle Beach without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);991;5;0;0;1;1;0;1;0;1;1;0;5
Carthage Thalasso Resort;Wroclaw;7;https://traffickcam.com/images/2017/7/20160624_160437_1WRZYE.jpg;Hotel 'Carthage Thalasso Resort' at  Wroclaw without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);323;2;0;1;1;1;1;1;1;1;1;0;1
Ramada Geneva Lakefront;Porto de Galinhas;10;https://traffickcam.com/images/2017/7/20160624_163956_QZZX8H.jpg;Hotel 'Ramada Geneva Lakefront' at  Porto de Galinhas without parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);245;1;0;0;0;0;1;1;0;0;0;0;3
Crowne Plaza Bahrain;Wroclaw;4;https://traffickcam.com/images/2017/7/20160624_165210_QDRBS0.jpg;Hotel 'Crowne Plaza Bahrain' at  Wroclaw without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);688;3;0;1;1;1;1;1;0;0;1;1;1
Alpine Inn & Suites;El Romero;4;https://traffickcam.com/images/2017/7/20160624_170217_74QLYG.jpg;Hotel 'Alpine Inn & Suites' at  El Romero without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);854;5;0;1;0;0;1;1;1;0;1;1;2
130 Queen's Gate Apartments;Bibione;8;https://traffickcam.com/images/2017/7/20160624_171309_VXTLSN.jpg;Hotel '130 Queen's Gate Apartments' at  Bibione without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);505;1;0;0;1;0;0;0;0;1;1;1;4
Grand Jersey Hotel & Spa;Bialystok;5;https://traffickcam.com/images/2017/7/20160624_181733_RRCD5Q.jpg;Hotel 'Grand Jersey Hotel & Spa' at  Bialystok with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);742;5;1;0;0;0;0;1;0;0;0;0;3
The Rees Hotel and Luxury Apartments;Panglao Island;3;https://traffickcam.com/images/2017/7/20160624_191116_RNK8H2.jpg;Hotel 'The Rees Hotel and Luxury Apartments' at  Panglao Island with parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);596;3;1;0;0;0;1;0;1;1;0;0;6
The Norfolk Lodge Hotel;Karjalohja;3;https://traffickcam.com/images/2017/7/20160624_195043_56GA1Z.jpg;Hotel 'The Norfolk Lodge Hotel' at  Karjalohja without parking place,  without restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);572;1;0;0;0;1;1;0;0;0;1;0;3
Hotel Le Lagon;Odessa;2;https://traffickcam.com/images/2017/7/20160624_202934_P2VW57.jpg;Hotel 'Hotel Le Lagon' at  Odessa without parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);55;5;0;1;0;0;0;0;1;0;0;1;4
L'Augeval;Petra;1;https://traffickcam.com/images/2017/7/20160624_211412_AZ0DQQ.jpg;Hotel 'L'Augeval' at  Petra with parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);673;1;1;0;1;0;1;0;1;1;0;1;4
Hotel Savoia;Zadar;10;https://traffickcam.com/images/2017/7/20160624_211915_Z7GJTG.jpg;Hotel 'Hotel Savoia' at  Zadar without parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);285;1;0;1;0;0;0;0;0;0;0;1;2
Rixos Grand Ankara;London;9;https://traffickcam.com/images/2017/7/20160624_212739_122IJ1.jpg;Hotel 'Rixos Grand Ankara' at  London without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);903;2;0;1;0;1;1;0;0;0;0;1;6
Hilton Fiji Beach Resort and Spa;Mecca;8;https://traffickcam.com/images/2017/7/20160624_213629_TGG4II.jpg;Hotel 'Hilton Fiji Beach Resort and Spa' at  Mecca without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);339;3;0;0;1;1;0;1;0;1;0;0;4
Leonardo Haifa;North Myrtle Beach;10;https://traffickcam.com/images/2017/7/20160624_215254_B73KAS.jpg;Hotel 'Leonardo Haifa' at  North Myrtle Beach with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);29;4;1;0;0;0;0;0;1;0;0;0;5
The Kensington Court;Cartagena de Indias;4;https://traffickcam.com/images/2017/7/20160624_215506_W0NEQE.jpg;Hotel 'The Kensington Court' at  Cartagena de Indias with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);555;2;1;0;1;0;0;0;1;0;1;0;1
Peppers Guest House;Montpellier;1;https://traffickcam.com/images/2017/7/20160624_224719_9WBNL1.jpg;Hotel 'Peppers Guest House' at  Montpellier without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);947;1;0;1;0;1;1;1;1;0;0;0;6
Imperial Hotel Tramontano;North Myrtle Beach;5;https://traffickcam.com/images/2017/7/20160624_231443_RMBVR4.jpg;Hotel 'Imperial Hotel Tramontano' at  North Myrtle Beach with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);603;2;1;0;0;0;0;0;1;1;0;0;5
Best Western Plus Bridgewater Hotel & Convention Centre;London;3;https://traffickcam.com/images/2017/7/20160624_232831_8SHXGG.jpg;Hotel 'Best Western Plus Bridgewater Hotel & Convention Centre' at  London with parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);885;1;1;1;1;0;0;1;0;1;0;1;5
The Academy Hotel Colorado Springs;Naples;6;https://traffickcam.com/images/2017/7/20160624_233043_AFQ4EX.jpg;Hotel 'The Academy Hotel Colorado Springs' at  Naples without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);708;1;0;1;1;1;0;0;1;1;1;1;3
Holiday Inn Express New Haven;Nice;6;https://traffickcam.com/images/2017/7/20160624_234844_2K5DNS.jpg;Hotel 'Holiday Inn Express New Haven' at  Nice without parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);827;1;0;0;0;1;0;1;0;0;0;1;2
Luminous Hot Spring & Resort;Maspalomas;2;https://traffickcam.com/images/2017/7/20160624_235333_NDWD1F.jpg;Hotel 'Luminous Hot Spring & Resort' at  Maspalomas without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);32;2;0;0;1;1;0;0;0;1;0;1;1
Hotel San Juan Park;Maslenica;8;https://traffickcam.com/images/2017/7/20160625_004050_2U69FL.jpg;Hotel 'Hotel San Juan Park' at  Maslenica without parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);447;5;0;0;1;0;0;0;0;1;1;1;5
Hotel Grand Pacific;Jakarta;3;https://traffickcam.com/images/2017/7/20160625_005712_NMI9QA.jpg;Hotel 'Hotel Grand Pacific' at  Jakarta without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);376;4;0;1;0;1;1;0;0;0;0;0;4
Sofitel Fiji Resort And Spa;Cebu City;2;https://traffickcam.com/images/2017/7/20160625_010939_892RB1.jpg;Hotel 'Sofitel Fiji Resort And Spa' at  Cebu City with parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);650;2;1;0;1;0;1;1;1;0;0;0;3
Mariani's Inn;Balatonmariafurdo;3;https://traffickcam.com/images/2017/7/20160625_013217_KIRHFC.jpg;Hotel 'Mariani's Inn' at  Balatonmariafurdo without parking place,  without restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);489;5;0;0;1;0;1;0;0;1;1;1;4
Goldey Swiss Quality Hotel;Davao;1;https://traffickcam.com/images/2017/7/20160625_013423_FGU2NB.jpg;Hotel 'Goldey Swiss Quality Hotel' at  Davao without parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);111;2;0;1;1;0;1;1;1;0;0;0;5
Mercure Norwich Hotel;Maspalomas;1;https://traffickcam.com/images/2017/7/20160625_013923_4D2HH5.jpg;Hotel 'Mercure Norwich Hotel' at  Maspalomas without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);99;1;0;1;1;0;0;1;1;0;0;1;1
Arthur's Court Motor Lodge;Porto Cesareo;9;https://traffickcam.com/images/2017/7/20160625_014026_4ICT6S.jpg;Hotel 'Arthur's Court Motor Lodge' at  Porto Cesareo with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);152;2;1;0;0;0;0;0;1;1;1;0;3
The Blowfish Hotel;North Myrtle Beach;5;https://traffickcam.com/images/2017/7/20160625_014600_L65SWB.jpg;Hotel 'The Blowfish Hotel' at  North Myrtle Beach with parking place,  without restaurant,  allowing pets, and etc. is waiting for you :);648;4;1;0;1;0;0;1;1;1;0;1;6
Mercure Inverness Hotel;Rankwitz;10;https://traffickcam.com/images/2017/7/20160625_015139_8QYULA.jpg;Hotel 'Mercure Inverness Hotel' at  Rankwitz without parking place,  with restaurant,  not allowing pets, with swimming pooland etc. is waiting for you :);611;4;0;1;0;1;1;1;0;0;1;1;3
Extended Stay America - Bakersfield - California Avenue;Mandre;8;https://traffickcam.com/images/2017/7/20160625_020715_BE2D0X.jpg;Hotel 'Extended Stay America - Bakersfield - California Avenue' at  Mandre without parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);838;4;0;1;1;0;0;0;0;1;0;1;2
Sandos Playacar Beach Experience Resort - All Inclusive;Cusco;7;https://traffickcam.com/images/2017/7/20160625_021654_1LUMO3.jpg;Hotel 'Sandos Playacar Beach Experience Resort - All Inclusive' at  Cusco with parking place,  with restaurant,  not allowing pets, and etc. is waiting for you :);689;3;1;1;0;0;0;1;1;1;1;0;6
Homewood Suites by Hilton Olmsted Village;STELLENBOSCH;1;https://traffickcam.com/images/2017/7/20160625_021714_AY6QSO.jpg;Hotel 'Homewood Suites by Hilton Olmsted Village' at  STELLENBOSCH with parking place,  without restaurant,  not allowing pets, and etc. is waiting for you :);986;5;1;0;0;0;0;0;0;1;0;0;1
The PZAZZ! Resort Hotel and Catfish Bend Inn & Spa;Sineu;9;https://traffickcam.com/images/2017/7/20160625_022559_GF6846.jpg;Hotel 'The PZAZZ! Resort Hotel and Catfish Bend Inn & Spa' at  Sineu with parking place,  with restaurant,  allowing pets, and etc. is waiting for you :);66;1;1;1;1;1;0;0;1;0;1;0;6
Reef Club Resort;Cannes;3;https://traffickcam.com/images/2017/7/20160625_022614_BAWRMT.jpg;Hotel 'Reef Club Resort' at  Cannes with parking place,  with restaurant,  allowing pets, with swimming pooland etc. is waiting for you :);377;5;1;1;1;0;1;1;1;0;1;1;5
